task_difficulty,error_rate,response_time,avg_error_rate,avg_response_time,label
0.6,0.3,2.5,0.5,30.0,MEDIUM
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
0.5,0.2,1.5,0.5,30.0,LOW
1.0,0.5,5.0,0.5,30.0,MEDIUM
0.5,0.2,1.5,0.5,30.0,LOW
1.0,0.5,6.0,0.5,30.0,MEDIUM
1.0,0.5,10.0,0.5,30.0,MEDIUM
1.0,0.5,60.0,0.5,30.0,HIGH
0.5,0.2,1.5,0.5,30.0,LOW
1.0,0.5,10000.0,0.5,30.0,HIGH
2.0,0.3,10000.0,0.5,30.0,HIGH
